GSM_ID,XIST,TYROBP,DOCK2,FCER1G,GSTA4,ABCC2,TIMELESS,ACBD5,LMAN1,KIFAP3,PCTK2,SNCA,RPS27,RPS18,PCBP2,STIP1,HSPA1A,DOPEY1,ENPP2,GAB2,TUBB4,ACTG1,SLC22A2,AGTR1,ZIC2,TEKT1,FANK1,HYDIN,MED6,SFRS3,PPP2R5A,RNASE11,LAMP2,P2RX7,MID1IP1,GJA1,STON2,CST3,CREBBP,ABCC11,MDGA1,SNAP91,BSN,GLS,DTL,UBE2C,BUB1,RFX4,DGCR6,AQP4,MT1M,AMPD1,EGR2,PDGFB
GSM1090292,0.34625715,0.1474776,0.1630102,0.22196245,-0.14166371,0.063308041,0.1143105,-0.07164339,-0.07534795,-0.1191072,-0.055039095,-0.1325753,-0.045742265,0.03058299,-0.03639214,0.1519259,0.2995021,-0.2212489,-0.2896593,-0.05280491,-0.1777008,-0.084078975,0.01230944,0.003461148,-0.01915826,0.04058743,0.06044188,0.11419942,-0.042820535,-0.08063164,0.177219775,0.3188337,-0.04242062,0.06280357,0.09560347,0.3499453,0.080518447,0.138148,0.07256821,0.012636595,0.1785003,-0.1626744,-0.02781931,0.1280709,0.08606917,0.12128565,0.0467421,0.01861878,0.1021857,0.130141007,0.1926217,0.1496469,-0.4647437,0.02310371
GSM1090293,0.25647735,-0.05275274,-0.1264397,0.1656569,-0.039022907,0.1489958,-0.002685689,-0.2812656,-0.02878556,0.01485729,-0.058036145,-0.020084003,-0.029722553,0.03293757,-0.04094845,0.1582484,-0.1893208,-0.1204191,-0.8177593,-0.29940035,-0.05317698,-0.00130655,0.1753674,-0.111349635,0.06671862,-0.08718659,-0.004060984,-0.16741249,0.03139255,-0.055429835,0.04714095,0.1429145,-0.251477833,-0.0109549,-0.07666092,-0.009551917,-0.199018886,0.08655361,0.029970445,0.04662627,0.5467554,-0.1876477,0.04565664,-0.02035523,0.08769296,0.06450147,0.1326627,-0.00138626,0.01519532,-0.106154906,-0.2724393,0.1525384,-0.1796907,-0.207566
GSM1090296,0.37362325,-0.1845715,-0.1439394,-0.10203653,-0.04137701,0.09012852,0.01845712,-0.1735147,-0.053284785,-0.1327503,-0.084956515,-0.080520163,-0.03652028,0.02226137,-0.03825609,0.01607541,-0.2509398,-0.1430287,-0.4532115,-0.13572995,-0.1039136,-0.183578,-0.042180755,-0.05134174,0.0717605,0.144187,0.04929068,0.16463219,-0.033331291,0.021254885,0.081935105,-0.02327814,-0.203861633,-0.04296887,-0.1356789,0.2662548,0.04312262,0.06810027,0.11662691,-0.029502937,0.3167957,-0.08987521,0.1313663,0.09051052,-0.06473194,0.1028134,-0.05813457,-0.0014379,-0.0284724,-0.047349512,0.2512592,-0.04128032,-0.3817446,-0.02543307
GSM1090297,0.44892005,-0.2410978,-0.1796599,-0.15970997,-0.065252885,0.16173295,0.0981874,-0.09937193,-0.03793408,-0.1245759,0.03906868,-0.003977749,-0.1476112,-0.017249755,-0.02067872,0.02804655,-0.2597413,-0.1240721,-0.454174,-0.14202785,-0.1240743,-0.15789165,0.109677205,-0.011958825,0.1543018,-0.04095796,-0.09503049,-0.0699762,-0.01081741,-0.026381845,0.054275555,-0.06620856,-0.136402517,-0.016253,-0.07442805,0.09801592,-0.105545943,0.0494489,0.16160915,0.002004531,0.3155219,-0.01380352,0.1366814,0.186528,0.06437801,0.10677077,-0.05922371,0.026533025,-0.03506783,-0.016210923,0.1041922,0.2507414,-0.6173695,0.07766539
GSM1090298,0.33521625,-0.3114289,-0.2765098,-0.15292198,-0.0399349,0.014787095,0.02429179,-0.2897634,-0.10412154,-0.1217644,-0.002511695,-0.021530807,0.024814478,0.082271175,0.04859762,0.06338657,-0.3885777,-0.1572903,-0.6559547,-0.2406321,-0.05398545,-0.20436445,0.12610217,0.08050391,0.1316954,-0.1101491,-0.1631369,-0.00216737,-0.032277049,0.02912564,0.03670084,0.03103922,-0.192417947,-0.1170221,-0.0936566,0.3095603,-0.076517993,0.1070235,0.110094075,0.001541877,0.2832177,0.02630521,0.1443059,0.1019019,0.02591874,0.092793645,-0.1231078,0.03430002,0.009356453,0.052275297,0.06565338,0.06532118,-0.3735042,-0.06218438
GSM1090300,0.245378,-0.5245955,-0.4400629,-0.240455255,0.041686755,0.02147099,0.08291854,-0.395992,-0.10990867,-0.2229721,-0.150091545,-0.032405217,0.052429879,0.11699285,0.03974241,0.0846662,-0.6161697,-0.0727493,-0.9046979,-0.2134081,0.04169411,-0.15827035,0.21026914,-0.05401514,0.1806625,-0.1505756,-0.08794589,-0.006394705,-0.086241235,0.024575876,-0.0260098,0.08043853,-0.402554167,-0.3326866,-0.2774829,-0.1049064,-0.101085453,0.07860202,0.124704105,0.0880711,0.3381843,0.004249948,0.1803261,-0.1014268,-0.05953506,0.0800768,-0.05454019,-0.050392105,0.1266032,-0.053404553,-0.08043814,0.06622757,-0.03218054,0.06945793
GSM1090301,0.38343565,-0.205211,-0.2168248,-0.074216615,-0.08447727,0.039032155,0.03307335,-0.04243279,-0.03305973,-0.2263818,-0.039670775,-0.1754102,-0.050754313,0.06823262,-0.0680458,0.1244326,-0.08268121,-0.01327863,0.1056562,0.10461165,-0.009821177,-0.058877855,0.003205914,0.043633885,-0.03205386,-0.3077787,-0.0381152,-0.056966701,-0.030445625,-0.16276085,0.21276879,-0.0750067,0.060852913,0.03300301,0.02519519,0.08906727,0.005704097,0.2133538,0.042041899,0.006643695,0.1298805,-0.1246737,-0.06473596,-0.06506049,-0.06653129,0.06633075,2,0.160575055,0.1065888,0.1446997,0.2472402,0.1496534,-0.5322048,0.0193026
GSM1090302,0.2510722,0.151106,0.04211221,0.025137515,-0.25303085,0.087671675,-0.03997332,-0.006128733,-0.00110696,-0.04231735,0.07115084,-0.134794447,-0.07476944,0.040164125,0.1623174,0.3097492,0.3204875,-0.2518856,-0.1764443,-0.045940245,0.04837073,-0.12391955,0.03041186,-0.03117304,-0.003500752,-0.05315444,0.01490272,-0.072076512,-0.088253255,0.02781669,0.034344725,0.1197674,0.06950666,0.2115667,0.3969853,0.0128995,-0.006492462,-0.1069211,0.083409785,-0.097004415,-0.05826074,-0.001882442,0.196619,0.3974094,0.055702,0.001950579,-0.04828748,-0.015912385,-0.01663503,0.036383962,0.3496569,0.0923299,0.04914955,0.4414294
GSM1090305,0.30834605,0.1000226,0.1030674,0.3476269,0.0169467,-0.01038818,0.04121668,-0.1221604,-0.024819245,-0.1279501,-0.14253765,-0.127241065,0.11087253,0.1105061,0.0363083,-0.1317003,-0.4100389,-0.09775225,-0.06476806,-0.008492899,0.0478919,-0.042892282,-0.03009112,-0.079836085,0.09225734,-0.2294187,0.002260048,-0.066887945,0.008545325,-0.194898135,0.1784666,0.07414045,-0.014739617,-0.1926999,0.02563536,-0.20804,-0.094673013,-0.006223937,0.032425845,-0.03883396,0.1733526,-0.03723094,0.07638916,-0.08139426,-0.09205617,0.039815245,-0.04400453,0.142177585,-0.007337469,-0.11802554,0.2066109,0.1422388,-0.3990768,-0.04239586
GSM1090307,0.5084736,-0.2744012,-0.2718886,0.079181975,-0.01166104,0.086365695,-0.1254994,-0.3143702,-0.03003191,-0.2914788,-0.09504314,-0.0900713,0.053118725,0.1719397,0.08730086,0.1185772,0.0798967,-0.09907716,-0.8399934,-0.11978875,0.02631213,-0.1887723,0.000527645,-0.10380971,0.1732473,-0.1454437,-0.1794276,-0.00603895,0.1906536,-0.183279435,0.023644955,0.07312438,-0.429366467,-0.1110967,-0.4890069,-0.2566617,-0.073765596,0.02652576,0.06471255,-0.06093388,0.2441654,0.0596745,0.09305643,0.02482098,-0.05358704,0.1410822,-0.01714656,0.128399025,0.1143065,-0.00760058,0.06393248,0.06790014,-0.3169094,-0.2115922
