GSM_ID,XIST,TYROBP,DOCK2,FCER1G,GSTA4,ABCC2,TIMELESS,ACBD5,LMAN1,KIFAP3,PCTK2,SNCA,RPS27,RPS18,PCBP2,STIP1,HSPA1A,DOPEY1,ENPP2,GAB2,TUBB4,ACTG1,SLC22A2,AGTR1,ZIC2,TEKT1,FANK1,HYDIN,MED6,SFRS3,PPP2R5A,RNASE11,LAMP2,P2RX7,MID1IP1,GJA1,STON2,CST3,CREBBP,ABCC11,MDGA1,SNAP91,BSN,GLS,DTL,UBE2C,BUB1,RFX4,DGCR6,AQP4,MT1M,AMPD1,EGR2,PDGFB
GSM1090324,-1.513843,-0.4626903,-0.3522449,-0.25271972,0.12172006,-0.040551075,0.02915981,-0.2213598,-0.02694882,-0.06763179,-0.0633475,-0.005346157,0.057104475,0.1150821,0.03835745,-0.03721337,-0.5834798,0.05687436,-0.5156061,-0.21344145,-0.003063995,-0.12127455,0.003162545,0.03337624,0.1147903,-0.1257017,-0.09170777,-0.05330929,0.047481326,0.06459783,0.06219939,-0.02998751,-0.3263085,-0.2377284,-0.5078979,-0.4647111,-0.103269403,0.06715304,0.04093366,-0.021833404,0.09158289,0.08102327,0.05736908,0.01420853,0.07121901,0.024162205,-0.00746185,-0.20533655,-0.03219303,-0.275727633,-0.3333355,0.09034096,-0.29443,-0.01975956
GSM1090334,-1.710345,0.3605294,0.1631197,0.3394762,-0.167415065,0.004453045,0.1060828,-0.4793227,-0.20287375,-0.414275,-0.30748275,-0.16521343,0.168022825,0.21814255,0.08573976,-0.07713326,-0.01484733,-0.1816802,-0.9575596,-0.099738715,-0.02881216,0.0113088,1.1288575,0.136695655,0.1913967,-0.07582285,-0.05120363,-0.017357465,-0.10137039,-0.10075448,0.0215128,0.1759551,-0.3733948,-0.4115766,-0.09860323,0.1012443,-0.08587345,0.2766534,0.072777565,0.074002295,0.3988841,-0.2678738,0.2601365,0.007811112,0.04129573,0.110486775,-0.07090107,0.01937161,0.001056662,-0.016259177,0.4974118,-0.01118343,-0.109539,0.2461909
GSM1090339,-1.5658035,-0.05175218,-0.002003343,-0.1058618,0.109706875,-0.02240126,0.002098256,-0.01391893,0.06550252,0.04484456,0.0123983,-0.02318702,0.079275905,0.11118055,0.06228336,-0.07138005,-0.3522461,0.06408258,0.05581632,-0.13870325,0.04788155,0.09687045,0.059096005,0.11567698,0.06476049,-0.06335942,-0.09073693,-0.054197675,0.022326357,0.075627735,-0.031358806,-0.002919787,-0.08875463,-0.3155312,-0.2283344,-0.1303147,-0.060886873,-0.1473923,0.020545345,0.017347342,-0.1036039,0.1433924,-0.01977294,-0.06293437,0.05491141,-0.01908238,-0.01889446,-0.13187103,-0.1283382,-0.274415,-0.5389812,0.02595559,-0.08355205,0.07122619
GSM1090342,-1.582833,0.01124356,0.03216236,-0.06891898,0.041748675,-0.03533374,-0.000672298,0.02921607,-0.007839405,0.03746844,-0.05884424,0.041323284,0.054326945,0.1301815,0.01335816,-0.01063334,0.3074476,0.02403569,0.08998596,0.2821032,0.1137813,0.09336688,0.025847118,-0.045172669,-0.1582083,-0.008707484,0.08821696,0.07384641,-0.045444145,0.028967149,-0.09380995,0.01255292,-0.039421203,-0.1105371,-0.01991039,-0.4280431,0.004679944,0.1541075,-0.15990365,0.03304462,-0.183474,-0.03302766,-0.1424736,-0.005542577,-0.01800385,-0.078236995,0.08249839,-0.192350235,0.1378426,-0.106929087,0.001075433,0.06277348,0.04562581,0.09118649
GSM1090345,-1.634615,-0.1163975,-0.06055927,-0.105249125,0.0744785,-0.07777641,0.01530657,0.06205861,0.085009615,0.1489545,0.06222662,0.064735607,-0.049167795,0.06721087,0.09266695,-0.1022819,-0.3243538,0.06608354,0.1035283,-0.07147518,-0.01275855,0.077281025,0.02747315,0.14488017,0.02868379,-0.1066002,-0.04290369,-0.018491035,0.07488902,0.075756135,0.026540907,0.01126741,-0.031866377,-0.1110844,-0.2318775,-0.2280508,-0.01404364,-0.1184952,-0.05429445,0.009813286,-0.08110017,0.1041819,-0.02978409,8.06E-05,0.03389966,-0.066948705,0.08190642,-0.169085345,-0.04251575,-0.2040331,-0.4769311,0.06000752,0.1002001,-0.005236147
GSM1090349,-1.622941,-0.2934741,-0.1378007,-0.22947055,0.1156995,-0.064396735,-0.03176058,0.04272646,0.07935167,0.1182989,-0.01254884,0.108428827,0.0368348,0.07180164,0.0941726,-0.01135373,-0.5295311,0.06657564,-0.3481047,-0.32865795,-0.01484836,0.055862746,0.0274532,0.16565825,0.02904687,-0.05938969,-0.03272585,-0.110630885,0.055124775,0.117875535,-0.034152385,0.0144843,-0.234479777,-0.3329852,-0.4987798,-0.1265949,-0.10475481,-0.04745482,-0.014644242,-0.00940496,-0.1244086,0.1099992,0.01761158,-0.02445765,0.02335082,-0.034315965,0.02104073,-0.148349258,-0.1416383,-0.273008367,-0.5771812,0.004798595,-0.1832207,-0.09516017
GSM1090361,-1.6901525,-0.4404282,-0.2034315,-0.2750792,0.078049935,-0.02029862,0.006290618,0.03498127,0.085960945,0.07293723,0.097215435,0.112267737,-0.08514169,0.061189635,0.03722559,-0.1145932,-0.1709696,0.1371486,0.06077533,-0.15677485,-0.1740656,0.04643374,0.02556511,0.10019527,0.09490075,-0.112217,-0.07756159,-0.093696745,0.07328352,0.096889175,0.024813515,0.04531399,-0.105279653,-0.1580673,-0.3886101,-0.7515078,-0.129537563,-0.2473511,-0.042520585,-0.072849005,-0.05398129,0.1305952,0.0727182,0.03637881,0.02122383,0.003521139,-0.04734602,-0.397317025,-0.1379776,-0.442066067,-0.857338,0.1234146,-0.1688257,-0.04728421
GSM1090362,-1.6146285,-0.1128495,-0.07065667,-0.117395795,0.1212165,-0.05957541,-0.01395034,0.000869924,0.04274067,0.08867966,0.057289489,0.008408467,0.056145168,0.04464774,0.06561964,-0.09416334,-0.6114653,0.03524438,-0.06875653,-0.13657195,0.06778039,0.05973324,0.000426195,0.061518325,0.03854834,-0.1245991,-0.07896056,-0.06791591,0.005232775,0.06655069,-0.023595751,-0.03054461,-0.1703288,-0.2020457,-0.3065679,-0.1501282,-0.101396723,-0.04570535,-0.006918381,0.0429855,-0.04482059,0.1101393,0.01263465,-0.04241457,-0.02398657,-0.02392849,-0.01114959,-0.182975865,-0.07688043,-0.274138033,-0.5250887,0.01552002,-0.05730317,-0.01994671
GSM1090363,-1.5755155,-0.06887471,-0.0253597,-0.084661475,0.045350005,-0.04302806,0.007853251,0.1581222,0.06739415,0.09449444,0.08405134,0.136042197,-0.012138186,0.02096824,0.03884565,-0.009627965,-0.3780368,0.03216664,0.08906324,0.002056715,0.1045671,0.09570764,0.026355855,0.150987005,0.01187689,-0.1170892,-0.006091992,0.06034343,0.066597935,0.04988583,0.061580155,0.01115628,-0.03436188,-0.08635945,-0.09644011,0.0187152,0.05233482,0.1375086,-0.0089759,0.020644524,-0.2735088,0.02212706,-0.08977838,0.01733696,0.04203031,-0.01502544,0.01055259,0.016303548,-0.002686495,0.059386703,-0.1309707,0.04745966,-0.1075552,-0.01597498
GSM1090366,-1.6147765,-0.3153936,-0.2605555,-0.24988605,0.103129375,-0.068408855,-0.02189079,-0.003755878,0.066878225,0.06351615,0.00735884,0.061218357,0.0731962,0.073140945,-0.06388144,-0.05955493,-0.4264981,0.05667903,-0.1823625,-0.22221465,-0.01137285,0.06659336,0.004863737,0.20560685,0.03725591,-0.1239999,-0.0530671,-0.09294146,0.00569764,0.09169876,-0.05618535,0.01564025,-0.2135345,-0.2813023,-0.3733652,-0.1245928,-0.043649263,-0.0284446,0.01908073,0.025206533,-0.1668873,0.02924236,-0.009259827,-0.01020655,-0.004033932,-0.020799903,0.02722958,-0.13579995,-0.127339,-0.2255049,-0.2810223,0.0401942,-0.1666721,-0.05112374
